[INFO] root: 2023-02-20 10:09:26,547 [11700:MainProcess] extracting
[INFO] root: 2023-02-20 10:10:24,874 [11700:MainProcess] prepping
[INFO] root: 2023-02-20 10:10:24,876 [11700:MainProcess] alert version = 3.3
[INFO] root: 2023-02-20 10:10:25,023 [11700:MainProcess] fixing schemas
[INFO] root: 2023-02-20 10:10:43,560 [11700:MainProcess] loading
[INFO] root: 2023-02-20 10:10:43,562 [11700:MainProcess] loading to bucket ztf_public_20200610.tar.gz
[INFO] root: 2023-02-20 10:11:44,703 [11471:MainProcess] extracting
[INFO] root: 2023-02-20 10:14:57,072 [11471:MainProcess] prepping
[INFO] root: 2023-02-20 10:14:57,113 [11471:MainProcess] alert version = 3.3
[INFO] root: 2023-02-20 10:14:57,254 [11471:MainProcess] fixing schemas
[INFO] root: 2023-02-20 10:16:12,639 [11471:MainProcess] loading
[INFO] root: 2023-02-20 10:16:12,641 [11471:MainProcess] loading to bucket ztf_public_20200104.tar.gz
[INFO] root: 2023-02-20 10:19:37,638 [11700:MainProcess] submitting bigquery load job ztf_public_20200610.tar.gz
[INFO] root: 2023-02-20 10:19:38,121 [11700:MainProcess] done with ztf_public_20200610.tar.gz (3.8G)
[INFO] root: 2023-02-20 10:19:38,148 [11700:MainProcess] Starting tarball ztf_public_20200611.tar.gz (8.5G)
[INFO] root: 2023-02-20 10:19:38,148 [11700:MainProcess] downloading
[INFO] root: 2023-02-20 10:22:03,567 [11700:MainProcess] extracting
[INFO] root: 2023-02-20 10:24:28,238 [11700:MainProcess] prepping
[INFO] root: 2023-02-20 10:24:28,247 [11700:MainProcess] alert version = 3.3
[INFO] root: 2023-02-20 10:24:28,399 [11700:MainProcess] fixing schemas
[INFO] root: 2023-02-20 10:25:19,827 [11700:MainProcess] loading
[INFO] root: 2023-02-20 10:25:19,829 [11700:MainProcess] loading to bucket ztf_public_20200611.tar.gz
[INFO] root: 2023-02-20 10:31:03,401 [16255:MainProcess] submitting bigquery load job ztf_public_20200921.tar.gz
[INFO] root: 2023-02-20 10:31:04,012 [16255:MainProcess] done with ztf_public_20200921.tar.gz (13G)
[INFO] root: 2023-02-20 10:31:04,102 [16255:MainProcess] Starting tarball ztf_public_20200922.tar.gz (11G)
[INFO] root: 2023-02-20 10:31:04,102 [16255:MainProcess] downloading
[INFO] root: 2023-02-20 10:36:42,729 [16255:MainProcess] extracting
[INFO] root: 2023-02-20 10:39:51,007 [16255:MainProcess] prepping
[INFO] root: 2023-02-20 10:39:51,105 [16255:MainProcess] alert version = 3.3
[INFO] root: 2023-02-20 10:39:51,244 [16255:MainProcess] fixing schemas
[INFO] root: 2023-02-20 10:41:19,919 [11471:MainProcess] submitting bigquery load job ztf_public_20200104.tar.gz
[INFO] root: 2023-02-20 10:41:20,227 [16255:MainProcess] loading
[INFO] root: 2023-02-20 10:41:20,229 [16255:MainProcess] loading to bucket ztf_public_20200922.tar.gz
[INFO] root: 2023-02-20 10:41:20,467 [11471:MainProcess] done with ztf_public_20200104.tar.gz (11G)
[INFO] root: 2023-02-20 10:41:20,539 [11471:MainProcess] Starting tarball ztf_public_20200105.tar.gz (11G)
[INFO] root: 2023-02-20 10:41:20,540 [11471:MainProcess] downloading
[INFO] root: 2023-02-20 10:44:17,031 [11700:MainProcess] submitting bigquery load job ztf_public_20200611.tar.gz
[INFO] root: 2023-02-20 10:44:17,736 [11700:MainProcess] done with ztf_public_20200611.tar.gz (8.5G)
[INFO] root: 2023-02-20 10:44:17,803 [11700:MainProcess] Starting tarball ztf_public_20200612.tar.gz (5.7G)
[INFO] root: 2023-02-20 10:44:17,803 [11700:MainProcess] downloading
[INFO] root: 2023-02-20 10:44:18,740 [11471:MainProcess] extracting
[INFO] root: 2023-02-20 10:45:54,123 [11700:MainProcess] extracting
[INFO] root: 2023-02-20 10:47:07,480 [11471:MainProcess] prepping
[INFO] root: 2023-02-20 10:47:07,654 [11471:MainProcess] alert version = 3.3
